event_id,type_of_events
17373,"courses_training_or_mentoring"
17372,"christian"
17371,"christian"
17370,"christian"
17369,"christian"
17368,"courses_training_or_mentoring"
17367,"courses_training_or_mentoring"
17366,"courses_training_or_mentoring"
17365,"courses_training_or_mentoring"
17364,"courses_training_or_mentoring"
17363,"courses_training_or_mentoring"
17362,"courses_training_or_mentoring"
17361,"christian"
17360,"courses_training_or_mentoring"
17359,"christian"
17358,"christian"
17357,"courses_training_or_mentoring"
17356,"christian"
17355,"christian"
17354,"christian"
17353,"courses_training_or_mentoring"
17352,"courses_training_or_mentoring"
17351,"christian"
17350,"courses_training_or_mentoring"
17349,"courses_training_or_mentoring"
17348,"courses_training_or_mentoring"
17347,"courses_training_or_mentoring"
17346,"courses_training_or_mentoring"
17345,"courses_training_or_mentoring"
17344,"christian"
17343,"courses_training_or_mentoring"
17342,"courses_training_or_mentoring"
17341,"courses_training_or_mentoring"
17340,"courses_training_or_mentoring"
17339,"christian"
17338,"courses_training_or_mentoring"
17337,"christian"
17336,"christian"
17335,"christian"
17334,"courses_training_or_mentoring"
17333,"christian"
17332,"christian"
17331,"courses_training_or_mentoring"
17330,"courses_training_or_mentoring"
17329,"courses_training_or_mentoring"
17328,"courses_training_or_mentoring"
17327,"courses_training_or_mentoring"
17326,"courses_training_or_mentoring"
17325,"courses_training_or_mentoring"
17324,"courses_training_or_mentoring"
17323,"courses_training_or_mentoring"
17322,"courses_training_or_mentoring"
17321,"courses_training_or_mentoring"
17320,"courses_training_or_mentoring"
17319,"christian"
17318,"christian"
17317,"christian"
17316,"courses_training_or_mentoring"
17315,"christian"
17314,"courses_training_or_mentoring"
17313,"courses_training_or_mentoring"
17312,"courses_training_or_mentoring"
17311,"courses_training_or_mentoring"
17310,"courses_training_or_mentoring"
17309,"christian"
17308,"christian"
17307,"courses_training_or_mentoring"
17306,"courses_training_or_mentoring"
17305,"christian"
17304,"courses_training_or_mentoring"
17303,"christian"
17302,"courses_training_or_mentoring"
17301,"christian"
17300,"courses_training_or_mentoring"
17299,"courses_training_or_mentoring"
17298,"courses_training_or_mentoring"
17297,"courses_training_or_mentoring"
17296,"christian"
17295,"christian"
17294,"courses_training_or_mentoring"
17293,"courses_training_or_mentoring"
17292,"christian"
17291,"christian"
17290,"courses_training_or_mentoring"
17289,"courses_training_or_mentoring"
17288,"courses_training_or_mentoring"
17287,"courses_training_or_mentoring"
17286,"courses_training_or_mentoring"
17285,"christian"
17284,"christian"
17283,"courses_training_or_mentoring"
17282,"courses_training_or_mentoring"
17281,"courses_training_or_mentoring"
17280,"christian"
17279,"christian"
17278,"christian"
17277,"courses_training_or_mentoring"
17276,"courses_training_or_mentoring"
17275,"courses_training_or_mentoring"
17274,"courses_training_or_mentoring"
17273,"christian"
17272,"christian"
17271,"courses_training_or_mentoring"
17270,"christian"
17269,"courses_training_or_mentoring"
17268,"courses_training_or_mentoring"
17267,"courses_training_or_mentoring"
17266,"courses_training_or_mentoring"
17265,"christian"
17264,"courses_training_or_mentoring"
17263,"courses_training_or_mentoring"
17262,"christian"
17261,"christian"
17260,"christian"
17259,"christian"
17258,"courses_training_or_mentoring"
17257,"courses_training_or_mentoring"
17256,"courses_training_or_mentoring"
17255,"courses_training_or_mentoring"
17254,"christian"
17253,"courses_training_or_mentoring"
17252,"courses_training_or_mentoring"
17251,"christian"
17250,"courses_training_or_mentoring"
17249,"courses_training_or_mentoring"
17248,"courses_training_or_mentoring"
17247,"courses_training_or_mentoring"
